,census_pca SSE (left)
2,52996.1386478
3,48330.1062244
4,42624.7399357
5,38652.8036659
6,35147.4524602
7,32054.4479939
8,30122.7786332
9,28538.4811115
10,27391.9052981
11,26492.2395843
12,25802.4419279
13,25054.5301818
14,24506.6559726
15,23947.8434082
