,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.00811953544617,0.00042462348938,0.605687203791,0.608056872038,0.1,6,2,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 2, 'NN__alpha': 0.1}",9,0.616113744076,0.60663507109,0.663507109005,0.594786729858,0.559241706161,0.620853080569,0.559241706161,0.619668246445,0.630331753555,0.598341232227,0.000446435753261,1.93750855006e-05,0.0409232855828,0.0106871775202
1,0.00936121940613,0.000422954559326,0.645497630332,0.647867298578,0.1,6,3,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 3, 'NN__alpha': 0.1}",5,0.654028436019,0.64336492891,0.63981042654,0.64691943128,0.630331753555,0.656398104265,0.654028436019,0.648104265403,0.649289099526,0.644549763033,0.003221152391,2.18493425293e-05,0.00918991442164,0.00458272028574
2,0.00797424316406,0.00045337677002,0.431279620853,0.431990521327,0.1,6,4,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 4, 'NN__alpha': 0.1}",25,0.388625592417,0.439573459716,0.417061611374,0.432464454976,0.402843601896,0.436018957346,0.497630331754,0.420616113744,0.450236966825,0.431279620853,0.000750209502782,5.15709031271e-05,0.0389664545803,0.00638492586981
3,0.0152326583862,0.000459766387939,0.571563981043,0.580805687204,0.1,6,5,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 5, 'NN__alpha': 0.1}",13,0.563981042654,0.594786729858,0.601895734597,0.601895734597,0.563981042654,0.571090047393,0.559241706161,0.572274881517,0.568720379147,0.563981042654,0.00344252396839,2.66204139582e-05,0.0154592478012,0.0147681862094
4,0.00804200172424,0.000435876846313,0.318483412322,0.317061611374,0.1,6,6,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 6, 'NN__alpha': 0.1}",37,0.293838862559,0.324644549763,0.284360189573,0.324644549763,0.327014218009,0.313981042654,0.374407582938,0.303317535545,0.312796208531,0.318720379147,0.000994873812502,2.43483157309e-05,0.0316366242053,0.00795164063297
5,0.00949397087097,0.000453853607178,0.491943127962,0.497393364929,0.1,6,7,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 7, 'NN__alpha': 0.1}",17,0.488151658768,0.489336492891,0.45971563981,0.498815165877,0.502369668246,0.486966824645,0.516587677725,0.5,0.492890995261,0.511848341232,0.00245776248936,4.68992071275e-05,0.0188146286647,0.00884746668369
6,0.0212915897369,0.000470924377441,0.456872037915,0.461137440758,0.1,6,8,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 8, 'NN__alpha': 0.1}",21,0.421800947867,0.457345971564,0.464454976303,0.43009478673,0.42654028436,0.449052132701,0.497630331754,0.497630331754,0.473933649289,0.471563981043,0.00462580377865,2.00058051191e-05,0.0288438370705,0.0226473844587
7,0.00985856056213,0.000479173660278,0.648341232227,0.651658767773,0.1,6,9,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 9, 'NN__alpha': 0.1}",1,0.60663507109,0.651658767773,0.687203791469,0.630331753555,0.696682464455,0.638625592417,0.611374407583,0.672985781991,0.63981042654,0.664691943128,0.00213811875764,3.98418490449e-05,0.037485724992,0.0158076588438
8,0.0154305458069,0.000462007522583,0.40663507109,0.413507109005,0.1,6,10,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 10, 'NN__alpha': 0.1}",29,0.383886255924,0.395734597156,0.417061611374,0.414691943128,0.402843601896,0.42654028436,0.431279620853,0.417061611374,0.398104265403,0.413507109005,0.00461360182454,2.28222254236e-05,0.0162525385777,0.00999764128423
9,0.00851120948792,0.000440788269043,0.378199052133,0.377251184834,0.1,6,11,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 11, 'NN__alpha': 0.1}",33,0.345971563981,0.383886255924,0.355450236967,0.382701421801,0.364928909953,0.377962085308,0.417061611374,0.374407582938,0.407582938389,0.367298578199,0.00152675688786,2.05241702895e-05,0.0286563345172,0.00602287442044
10,0.00802702903748,0.000431823730469,0.605687203791,0.608056872038,0.01,6,2,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 2, 'NN__alpha': 0.01}",9,0.616113744076,0.60663507109,0.663507109005,0.594786729858,0.559241706161,0.620853080569,0.559241706161,0.619668246445,0.630331753555,0.598341232227,0.000516622977708,4.94593926324e-05,0.0409232855828,0.0106871775202
11,0.00944137573242,0.000431632995605,0.645497630332,0.647867298578,0.01,6,3,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 3, 'NN__alpha': 0.01}",5,0.654028436019,0.64336492891,0.63981042654,0.64691943128,0.630331753555,0.656398104265,0.654028436019,0.648104265403,0.649289099526,0.644549763033,0.00316974866375,1.78292467785e-05,0.00918991442164,0.00458272028574
12,0.00769143104553,0.00042839050293,0.431279620853,0.431990521327,0.01,6,4,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 4, 'NN__alpha': 0.01}",25,0.388625592417,0.439573459716,0.417061611374,0.432464454976,0.402843601896,0.436018957346,0.497630331754,0.420616113744,0.450236966825,0.431279620853,0.000700054851679,3.8036364895e-05,0.0389664545803,0.00638492586981
