,census_rf SSE (left)
2,60982.8948731
3,55373.3026086
4,50141.258194
5,46425.2783887
6,43717.9383739
7,41525.2440583
8,39697.4133907
9,38566.4919535
10,37378.1337686
11,36464.2745945
12,35377.482403
13,34935.3714599
14,34265.2608924
15,33306.7943947
