,census_pca log-likelihood
2,-10.0090502922
3,-9.44309097324
4,-8.18695272988
5,-6.58349044041
6,-4.93467038051
7,-5.85370396208
8,-5.77282331724
9,-5.25018994616
10,-4.92050685468
11,-4.92600719703
12,-3.17954203084
13,-2.97083262206
14,-2.73381285344
15,-3.090924554
