,redwine_ica log-likelihood
2,-7.78080573506
3,-7.2455840579
4,-7.20542213248
5,-7.03598063313
6,-6.96847541485
7,-6.86252155436
8,-6.78921824454
9,-6.78082924624
10,-6.69441955413
11,-6.60998496212
12,-6.56694092701
