,census log-likelihood
2,-6.835412022
3,1.20142861469
4,2.57436920259
5,3.57679417934
6,5.78652710493
7,8.99574444685
8,9.36265579499
9,11.9411060558
10,12.3641843202
11,12.7558716723
12,11.8525266173
13,11.8711088246
14,13.9548131338
15,14.3934000423
