,census_rf log-likelihood
2,-8.11347969017
3,-2.1535056423
4,-1.99393944472
5,-1.49976548979
6,1.04695391553
7,1.40655917516
8,3.54917799313
9,3.5589202666
10,3.412095332
11,3.57219941063
12,5.02778115726
13,5.26491696816
14,5.8628691123
15,6.24645702311
