,redwine_pca SSE (left)
2,8697.13417955
3,7985.75523517
4,7262.59241074
5,6687.27388415
6,6222.13077554
7,5767.19161583
8,5434.77580119
9,5109.05121586
10,4858.4659431
11,4718.42043071
12,4568.7344957
