,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.780903196335,0.123393249512,0.713189006602,0.715799520669,0.1,7,2,"{'NN__hidden_layer_sizes': 7, 'filter__n': 2, 'NN__alpha': 0.1}",41,0.717574827322,0.715163147793,0.716807367613,0.714587332054,0.697620874904,0.721305182342,0.726784343822,0.71669865643,0.707148347425,0.711243284728,0.0166083623204,0.0022247665711,0.00996106151123,0.00327885386076
1,0.732219934464,0.122052574158,0.753416244434,0.753838845246,0.1,7,3,"{'NN__hidden_layer_sizes': 7, 'filter__n': 3, 'NN__alpha': 0.1}",37,0.754412893323,0.753550863724,0.752877973906,0.753550863724,0.755180353031,0.754126679463,0.756715272448,0.758925143954,0.747886241353,0.749040675365,0.0516166009095,0.00231674980399,0.00302743363396,0.00313501464138
2,0.675922489166,0.120431947708,0.569783509903,0.570346181777,0.1,7,4,"{'NN__hidden_layer_sizes': 7, 'filter__n': 4, 'NN__alpha': 0.1}",52,0.81197237145,0.8,0.76976208749,0.789251439539,0.785111281658,0.780614203455,0.240982348427,0.240882917466,0.240584166026,0.240982348427,0.0801666412025,0.00342941441114,0.268864259756,0.269035167326
3,0.712104988098,0.124830818176,0.794104099493,0.795334345811,0.1,7,5,"{'NN__hidden_layer_sizes': 7, 'filter__n': 5, 'NN__alpha': 0.1}",26,0.825019186493,0.819001919386,0.777436684574,0.788483685221,0.785111281658,0.797504798464,0.815042210284,0.801535508637,0.767870868563,0.770145817345,0.0534826358049,0.00412409947699,0.0220938721605,0.0160294281923
4,0.755744409561,0.125152015686,0.805773069246,0.805005354541,0.1,7,6,"{'NN__hidden_layer_sizes': 7, 'filter__n': 6, 'NN__alpha': 0.1}",16,0.819646968534,0.813243761996,0.810437452034,0.815163147793,0.806600153492,0.817274472169,0.785878741366,0.774088291747,0.806302843966,0.805257099002,0.0428822480607,0.00231350758651,0.011056018728,0.015984439406
5,0.748240995407,0.122338819504,0.802241670505,0.807230958235,0.1,7,7,"{'NN__hidden_layer_sizes': 7, 'filter__n': 7, 'NN__alpha': 0.1}",20,0.81197237145,0.80537428023,0.804297774367,0.814395393474,0.805065234075,0.814971209213,0.779739063699,0.784644913628,0.810146041507,0.816768994628,0.0504050999992,0.00164244823098,0.0116262167728,0.0119648770988
6,0.796426391602,0.12167596817,0.787962536466,0.790764557797,0.1,7,8,"{'NN__hidden_layer_sizes': 7, 'filter__n': 8, 'NN__alpha': 0.1}",30,0.7981580967,0.798272552783,0.770529547199,0.78349328215,0.782041442824,0.793282149712,0.780506523408,0.787140115163,0.80860876249,0.791634689179,0.0201288110444,0.00088079797583,0.0135971039991,0.00508868195762
7,0.73867316246,0.124584293365,0.801320436051,0.801321385906,0.1,7,9,"{'NN__hidden_layer_sizes': 7, 'filter__n': 9, 'NN__alpha': 0.1}",21,0.815042210284,0.809021113244,0.777436684574,0.803454894434,0.808902532617,0.808253358925,0.805065234075,0.796928982726,0.800153727902,0.7889485802,0.0610829802616,0.00424359458676,0.0128984251398,0.00754015167489
8,0.756387996674,0.117583274841,0.815292491939,0.816674218509,0.1,7,10,"{'NN__hidden_layer_sizes': 7, 'filter__n': 10, 'NN__alpha': 0.1}",12,0.811204911742,0.81113243762,0.798925556408,0.817082533589,0.812739831159,0.821880998081,0.834996162701,0.814971209213,0.818601076095,0.818303914045,0.0126993700122,0.00671594286763,0.0117514041828,0.00356496166416
9,0.745980787277,0.12178401947,0.8231229848,0.822854095745,0.1,7,11,"{'NN__hidden_layer_sizes': 7, 'filter__n': 11, 'NN__alpha': 0.1}",1,0.831926323868,0.819385796545,0.806600153492,0.824568138196,0.823484267076,0.825911708253,0.825786646201,0.819001919386,0.827824750192,0.825402916347,0.0853816835289,0.00361278353015,0.00871685315551,0.00302164803633
10,0.867003774643,0.121288013458,0.785352372179,0.789804658672,0.1,7,12,"{'NN__hidden_layer_sizes': 7, 'filter__n': 12, 'NN__alpha': 0.1}",35,0.818112049117,0.831285988484,0.787413660783,0.81113243762,0.775134305449,0.763339731286,0.748273215656,0.748944337812,0.797847809377,0.794320798158,0.0478760119015,0.00146315006414,0.0232956964234,0.0302189629074
11,0.682332801819,0.118904972076,0.815906648242,0.81928393505,0.1,7,13,"{'NN__hidden_layer_sizes': 7, 'filter__n': 13, 'NN__alpha': 0.1}",11,0.818112049117,0.813819577735,0.795855717575,0.821689059501,0.820414428243,0.816122840691,0.818879508826,0.818042226488,0.826287471176,0.826745970837,0.0549206596947,0.00557870478692,0.0104290423262,0.00453564020331
12,0.759565448761,0.121259355545,0.69399662214,0.694837323584,0.1,7,14,"{'NN__hidden_layer_sizes': 7, 'filter__n': 14, 'NN__alpha': 0.1}",47,0.815809669992,0.816122840691,0.7981580967,0.808637236084,0.805832693784,0.80556621881,0.805832693784,0.8,0.243658724058,0.243860322333,0.0990375417901,0.00169795262092,0.225065914963,0.22554863296
13,0.784441995621,0.12262544632,0.713035467526,0.715070154066,0.01,7,2,"{'NN__hidden_layer_sizes': 7, 'filter__n': 2, 'NN__alpha': 0.01}",42,0.717574827322,0.715163147793,0.716807367613,0.714587332054,0.697620874904,0.721305182342,0.726016884114,0.713051823417,0.707148347425,0.711243284728,0.0582797202299,0.00176164554451,0.009754085104,0.00340105660262
