,redwine_rp SSE (left)
2,7622.29124956
3,6019.47161092
4,5283.25182207
5,4788.79893908
6,4394.6464599
7,4086.40820243
8,3861.11129414
9,3656.06045804
10,3471.82856025
11,3308.42105033
12,3173.15658621
