,census_ica log-likelihood
2,-11.2382488909
3,-6.912582557
4,-4.42844280513
5,-3.49962878633
6,-3.24525305712
7,0.829221362004
8,0.740672323808
9,1.96151810531
10,1.21623886511
11,0.985055580339
12,1.83757465083
13,2.44780144024
14,2.69047392381
15,3.9131169287
