,redwine_rp log-likelihood
2,-8.02798132432
3,-7.64656324463
4,-7.25188400022
5,-7.24008262162
6,-7.06325561418
7,-6.81661406766
8,-6.69000652979
9,-6.56873197299
10,-6.38044226233
11,-6.36219390689
12,-6.29718505172
