,census_rp SSE (left)
2,46226.2642356
3,40998.1287662
4,36707.4016835
5,33402.7820754
6,31067.2996554
7,29315.7626097
8,27556.2306213
9,26018.9483573
10,24824.8497128
11,23761.4925344
12,22921.2360427
13,22128.8072273
14,21395.6456577
15,20841.446495
