,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0340297698975,0.000509929656982,0.240902809765,0.240902803658,0.1,7,2,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 2, 'NN__alpha': 0.1}",33,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240584166026,0.240982348427,0.000281275056079,7.59564325169e-06,0.000159199549404,3.97723841187e-05
1,0.0362158298492,0.000534152984619,0.759097190235,0.759097196342,0.1,7,3,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 3, 'NN__alpha': 0.1}",9,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759415833974,0.759017651573,0.000346991107297,8.91009497804e-06,0.000159199549404,3.97723841187e-05
2,0.0395518302917,0.000609827041626,0.240902809765,0.240902803658,0.1,7,4,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 4, 'NN__alpha': 0.1}",33,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240584166026,0.240982348427,0.000880913779851,9.1468429493e-05,0.000159199549404,3.97723841187e-05
3,0.0419866085052,0.000583219528198,0.759097190235,0.759097196342,0.1,7,5,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 5, 'NN__alpha': 0.1}",9,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759415833974,0.759017651573,0.00355695484101,1.15246717425e-05,0.000159199549404,3.97723841187e-05
4,0.0478548049927,0.000606203079224,0.759097190235,0.759097196342,0.1,7,6,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 6, 'NN__alpha': 0.1}",9,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759415833974,0.759017651573,0.00570822002196,1.88580505571e-05,0.000159199549404,3.97723841187e-05
5,0.0489439964294,0.00061616897583,0.759097190235,0.759097196342,0.1,7,7,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 7, 'NN__alpha': 0.1}",9,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759415833974,0.759017651573,0.00343044590852,1.192531505e-05,0.000159199549404,3.97723841187e-05
6,0.0490224838257,0.000687170028687,0.240902809765,0.240902803658,0.1,7,8,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 8, 'NN__alpha': 0.1}",33,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240584166026,0.240982348427,0.00219597482289,5.20904821017e-05,0.000159199549404,3.97723841187e-05
7,0.0755573749542,0.000664806365967,0.761093198219,0.760248754167,0.1,7,9,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 9, 'NN__alpha': 0.1}",8,0.765924788949,0.762188099808,0.76055257099,0.76084452975,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.76095311299,0.759976976209,0.00947608920424,4.80068700739e-06,0.00254093834204,0.00116200126435
8,0.0835097789764,0.00068187713623,0.759097190235,0.759097196342,0.1,7,10,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 10, 'NN__alpha': 0.1}",9,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759415833974,0.759017651573,0.0031706651551,7.67693015957e-06,0.000159199549404,3.97723841187e-05
9,0.0741178512573,0.000743341445923,0.768309534777,0.770613570043,0.1,7,11,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 11, 'NN__alpha': 0.1}",1,0.785111281658,0.786564299424,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.790483499616,0.790019193858,0.747886241353,0.758250191865,0.00824860178804,2.15630592417e-05,0.0165139387953,0.0144789196663
10,0.0741218566895,0.000754737854004,0.240902809765,0.240902803658,0.1,7,12,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 12, 'NN__alpha': 0.1}",33,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240584166026,0.240982348427,0.0104085132712,5.5936596162e-05,0.000159199549404,3.97723841187e-05
11,0.0730239391327,0.000733423233032,0.759097190235,0.759097196342,0.1,7,13,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 13, 'NN__alpha': 0.1}",9,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759017651573,0.759117082534,0.759415833974,0.759017651573,0.00667855861914,4.38949259677e-06,0.000159199549404,3.97723841187e-05
12,0.0902913570404,0.000881385803223,0.240902809765,0.240902803658,0.1,7,14,"{'NN__hidden_layer_sizes': 7, 'ica__n_components': 14, 'NN__alpha': 0.1}",33,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240982348427,0.240882917466,0.240584166026,0.240982348427,0.0221237915157,0.000174752485017,0.000159199549404,3.97723841187e-05
