,census_ica log-likelihood
2,-2.7200122441
3,-2.57476765202
4,-2.56784788045
5,-2.54968428147
6,-2.54308508126
7,-2.54137925971
8,-2.53742452918
9,-2.53510376171
10,-2.53427761669
11,-2.53104966851
12,-2.52786029598
13,-2.52669059242
14,-2.52440953415
15,-2.52495570306
