,redwine_rp SSE (left)
2,1225.22797955
3,924.065505924
4,709.207705804
5,570.751281575
6,487.293456171
7,426.974871239
8,376.07360223
9,341.369242813
10,307.883119199
11,283.845873972
12,262.547710349
