,census_rp SSE (left)
2,77696.6831208
3,68352.924854
4,62387.416751
5,58170.6564061
6,55180.0897548
7,52347.0466876
8,50171.2347109
9,47991.2764749
10,46170.9150815
11,44332.941927
12,42795.9194875
13,41399.4425772
14,40363.2946961
15,39501.029487
