,census SSE (left)
2,80300.117256
3,74613.8660932
4,69379.3822498
5,64188.1858095
6,60261.5505372
7,56067.3939683
8,54647.8261263
9,51911.8257319
10,49290.6371923
11,47745.0060729
12,46764.5324438
13,45439.6075355
14,44705.5289453
15,43842.8200031
