,redwine_rf log-likelihood
2,-3.92131935126
3,-3.80126209424
4,-3.73434632524
5,-3.70994690805
6,-3.7017082886
7,-3.6907485117
8,-3.68307786413
9,-3.66787209346
10,-3.64170569198
11,-3.64504795074
12,-3.63148743754
