,census_pca SSE (left)
2,78672.1655698
3,73300.4001855
4,68428.2709257
5,63090.9770271
6,58536.9637584
7,55961.4598202
8,52686.3641495
9,49659.402215
10,47945.8335212
11,46641.320448
12,45146.3610682
13,44191.1683687
14,43410.035719
15,42892.4218923
