,census_ica SSE (left)
2,8013.57639662
3,4463.53543447
4,3620.89758044
5,2836.93862572
6,2345.04698536
7,2021.46590306
8,1806.74562178
9,1621.56175641
10,1498.37191863
11,1381.62523355
12,1272.23261409
13,1184.94565831
14,1106.54601196
15,1046.62467584
