,redwine_pca log-likelihood
2,-5.11270696634
3,-5.06769294291
4,-4.94820642973
5,-4.83404588162
6,-4.79509642978
7,-4.7450664437
8,-4.71964993865
9,-4.68573094281
10,-4.63942942313
11,-4.63351654745
12,-4.61951874827
