,census_pca log-likelihood
2,-12.8697632094
3,-10.542610028
4,-0.85763451622
5,2.42907556563
6,4.31342639248
7,4.3773243605
8,0.515658994438
9,3.10590982207
10,2.8693187542
11,5.00405929876
12,8.80637448131
13,8.68704002457
14,8.85588730185
15,8.8595341506
