,redwine_pca SSE (left)
2,3439.34566077
3,2838.1146787
4,2283.80431654
5,1839.38597923
6,1665.71189948
7,1521.79015682
8,1423.67514423
9,1365.38754781
10,1288.63210812
11,1222.13241731
12,1180.69403046
