,census log-likelihood
2,-6.835412022
3,-0.759954054931
4,-1.94358496735
5,-0.271138982459
6,0.188988782946
7,6.88220083791
8,5.94709759651
9,8.00844744785
10,9.93668178597
11,11.7803955987
12,12.5876348812
13,12.343171365
14,12.6589554771
15,14.589589592
