,redwine_rp log-likelihood
2,-2.55787881617
3,-2.55123148021
4,-2.54456074311
5,-2.54384401083
6,-2.54443188598
7,-2.53314155429
8,-2.53519473862
9,-2.52973349962
10,-2.52382980262
11,-2.50996425361
12,-2.50881771527
