,census_rf log-likelihood
2,-11.590934334
3,0.0404796285754
4,0.538813679507
5,1.08815687988
6,6.20059948264
7,4.81647997176
8,9.07470268931
9,9.21932215063
10,11.1292299465
11,11.6541268913
12,12.2256843999
13,12.3568767629
14,13.5756354515
15,13.9082580446
