,redwine_rf SSE (left)
2,2204.20450828
3,1734.59211664
4,1380.95829256
5,1195.82770488
6,1052.25571251
7,918.625269907
8,841.545926945
9,789.03439189
10,723.328697003
11,674.240352113
12,638.846698091
