,redwine SSE (left)
2,9454.09609857
3,8335.42400958
4,7502.65127578
5,6740.82447495
6,6230.45595218
7,5753.64994095
8,5529.56129867
9,5264.67000361
10,5038.90758699
11,4889.67884565
12,4780.29505335
