,census_rp log-likelihood
2,-2.72908471053
3,1.92378350103
4,6.61405366891
5,3.61947351084
6,7.32805106051
7,6.30653343773
8,9.50201039954
9,10.9665036561
10,11.1552830031
11,13.9099686499
12,12.2898326601
13,15.0412467595
14,15.4244941557
15,15.9360138456
