,redwine_ica SSE (left)
2,6607.06481917
3,5870.69582899
4,5250.85914633
5,4754.97951878
6,4287.44794109
7,3975.93818767
8,3695.07979677
9,3507.33351564
10,3364.77173431
11,3244.65350423
12,3131.51388247
