,census_rf SSE (left)
2,73940.5061876
3,68254.308116
4,62993.9502834
5,59263.7614209
6,53251.871318
7,49771.4745169
8,47531.6537851
9,45267.0329791
10,43644.5468256
11,42588.4320651
12,41785.1232608
13,40685.9897845
14,39939.8844466
15,39116.2277973
