,redwine_ica log-likelihood
2,-8.96140950372
3,-8.45178250032
4,-8.35318458309
5,-8.06214359421
6,-7.93294757156
7,-7.89941587516
8,-7.7772841479
9,-7.7134566969
10,-7.61650258454
11,-7.515841079
12,-7.44683127757
