,redwine log-likelihood
2,-11.2779955967
3,-10.7775370748
4,-10.7623583192
5,-10.4860822477
6,-10.0081576465
7,-9.87555072344
8,-9.76303008459
9,-9.43546907962
10,-9.26070786102
11,-9.07111565384
12,-8.8836879852
