,redwine_rf log-likelihood
2,-7.08736228283
3,-6.83794121312
4,-6.70322678305
5,-6.59957187732
6,-6.51266658882
7,-6.46798806386
8,-6.38177788117
9,-6.31547743057
10,-6.28648309818
11,-6.23116083178
12,-6.16960653405
