,census SSE (left)
2,120644.156469
3,112115.092846
4,103668.326156
5,97796.846099
6,91463.2232301
7,85508.5048353
8,81491.4199244
9,76994.0820017
10,73952.3152257
11,71857.2515191
12,69537.463646
13,68136.2845432
14,67255.1052409
15,65827.3868909
