cluster,variance explained
1,2.19071397168
2,1.40963421203
3,1.25137185216
4,1.12845643273
5,1.08687405093
6,1.04345277095
7,0.945192182262
8,0.907654747872
9,0.838599391734
10,0.836070637984
11,0.734006124915
12,0.660591385085
13,0.580080588756
14,0.387301650905
