,census_rp log-likelihood
2,-4.41934616091
3,-3.72170574011
4,-3.06071924756
5,-2.88416483323
6,-2.27022852478
7,-0.771019636991
8,-1.64237487857
9,2.1114325342
10,-0.228044252094
11,1.48057664009
12,0.78462769881
13,1.67766000724
14,1.02094643539
15,2.26116569469
