,redwine_rp log-likelihood
2,-3.43407842218
3,-3.33385141146
4,-3.32118658157
5,-3.25125504458
6,-3.24501773612
7,-3.2312933309
8,-3.22709887341
9,-3.21883672336
10,-3.20579136286
11,-3.19469322957
12,-3.19348402867
