,redwine log-likelihood
2,-11.8678333086
3,-10.7570644558
4,-10.3400386113
5,-9.96979679874
6,-9.83616072912
7,-9.6218903809
8,-9.48934533084
9,-9.32421165589
10,-9.21509574314
11,-9.13223350101
12,-8.96190280634
