,census_rf log-likelihood
2,-1.3773082469
3,-1.35925839696
4,-1.35424903664
5,-1.34766857215
6,-1.3405041063
7,-1.3390671497
8,-1.33915455014
9,-1.3380006615
10,-1.33420411458
11,-1.33454297554
12,-1.33125996254
13,-1.33115220066
14,-1.3284339109
15,-1.32750018909
