,census_rf SSE (left)
2,111072.897932
3,102539.005831
4,94530.1627018
5,86364.0746845
6,80960.1573397
7,74855.9621575
8,71126.5892587
9,68054.482043
10,65778.7276661
11,64286.7609428
12,62205.1490725
13,61037.7499697
14,59888.8520936
