,redwine SSE (left)
2,14330.1198117
3,12629.974593
4,11294.9334161
5,10155.7286473
6,9361.14712249
7,8645.60655032
8,8299.01750261
9,7996.25580412
10,7705.7641237
11,7470.96591063
12,7276.32126314
