,redwine_rp SSE (left)
2,12971.4919068
3,10836.670287
4,9481.36866352
5,8695.16454218
6,7983.74361026
7,7432.81560946
8,6990.48299893
9,6661.73573614
10,6341.88927954
11,6048.04115449
