,census_ica SSE (left)
2,65831.7988215
3,60904.666746
4,55638.646297
5,52098.334708
6,47064.9241118
7,42651.816561
8,40485.4184238
9,37798.1943094
10,36001.6563898
11,34921.1559286
12,33931.9066896
13,33135.5526179
14,32557.5143614
15,31890.15711
