,redwine_ica SSE (left)
2,16351.5871918
3,15227.2734394
4,14152.830448
5,13326.8286324
6,12528.2056808
7,11880.5131714
8,11339.9261153
9,10804.0367363
10,10368.3441242
11,9934.54765112
12,9632.53977649
