,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.205338382721,0.00102376937866,0.649155722326,0.667294395035,0.1,6,2,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 2, 'NN__alpha': 0.1}",37,0.675,0.659890539484,0.65625,0.670836591087,0.60625,0.678655199375,0.634375,0.674745895231,0.673981191223,0.65234375,0.0455998364007,3.06057401597e-05,0.0260542722396,0.00975170495102
1,0.255672168732,0.00090537071228,0.647279549719,0.661352497068,0.1,6,3,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 3, 'NN__alpha': 0.1}",39,0.6625,0.647380766224,0.678125,0.658326817826,0.60625,0.684910086005,0.646875,0.665363565285,0.64263322884,0.65078125,0.0488384474609,0.000133404482142,0.0240417079939,0.0133203898365
2,0.285728025436,0.000758838653564,0.697310819262,0.720765001955,0.1,6,4,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 4, 'NN__alpha': 0.1}",26,0.725,0.724003127443,0.696875,0.719311962471,0.690625,0.720875684128,0.653125,0.731821735731,0.721003134796,0.7078125,0.0567815774292,1.28784880252e-05,0.0257899889673,0.00777981618874
3,0.240202856064,0.000748348236084,0.688555347092,0.702470680219,0.1,6,5,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 5, 'NN__alpha': 0.1}",29,0.725,0.691946833464,0.675,0.692728694292,0.6875,0.713057075841,0.684375,0.714620797498,0.670846394984,0.7,0.0827591351896,2.02548615781e-05,0.0192058787258,0.00971039672947
4,0.488901996613,0.000774049758911,0.702939337086,0.73452318706,0.1,6,6,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 6, 'NN__alpha': 0.1}",24,0.74375,0.729476153245,0.665625,0.742767787334,0.690625,0.737294761532,0.70625,0.73885848319,0.708463949843,0.72421875,0.190323832324,1.22033053911e-05,0.0255065967785,0.00672463864788
5,0.452546882629,0.000758743286133,0.732958098812,0.758285770133,0.1,6,7,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 7, 'NN__alpha': 0.1}",16,0.79375,0.742767787334,0.734375,0.758405003909,0.725,0.763096168882,0.7,0.764659890539,0.711598746082,0.7625,0.137297438621,1.22126179071e-05,0.0325740466249,0.00802933480807
6,0.61500043869,0.00077052116394,0.741713570982,0.779862074863,0.1,6,8,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 8, 'NN__alpha': 0.1}",5,0.75,0.763096168882,0.765625,0.785770132916,0.721875,0.781860828772,0.75625,0.786551993745,0.71473354232,0.78203125,0.0856186863515,1.55747016636e-05,0.0198604018712,0.0085960003018
7,0.929069137573,0.00077862739563,0.735459662289,0.77517494136,0.1,6,9,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 9, 'NN__alpha': 0.1}",13,0.76875,0.772478498827,0.728125,0.78967943706,0.715625,0.786551993745,0.734375,0.77091477717,0.730407523511,0.75625,0.38266585193,2.60736197555e-05,0.0177936389593,0.012028224501
8,0.761595630646,0.00076379776001,0.741713570982,0.781427018178,0.1,6,10,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 10, 'NN__alpha': 0.1}",5,0.759375,0.778733385457,0.765625,0.773260359656,0.715625,0.795152462862,0.740625,0.785770132916,0.727272727273,0.77421875,0.180269728294,1.64854681253e-05,0.0188386643312,0.00816283744991
9,1.19184303284,0.000787973403931,0.732332707942,0.786897844996,0.1,6,11,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 11, 'NN__alpha': 0.1}",17,0.725,0.785770132916,0.73125,0.784988272088,0.709375,0.791243158718,0.740625,0.784206411259,0.755485893417,0.78828125,0.356217814473,1.39028904007e-05,0.0154006187358,0.00256739477037
10,0.277709627151,0.000743389129639,0.65478424015,0.66885848319,0.01,6,2,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 2, 'NN__alpha': 0.01}",33,0.678125,0.65598123534,0.675,0.681000781861,0.596875,0.677873338546,0.646875,0.679437060203,0.677115987461,0.65,0.105096132178,1.64816058093e-05,0.031207999712,0.0131306909653
11,0.234122800827,0.000751161575317,0.644152595372,0.664322224394,0.01,6,3,"{'NN__hidden_layer_sizes': 6, 'rp__n_components': 3, 'NN__alpha': 0.01}",40,0.671875,0.655199374511,0.65,0.66223612197,0.609375,0.677091477717,0.65,0.667709147772,0.639498432602,0.659375,0.0672086845393,1.51478189291e-05,0.0203434706096,0.00757071096927
