,redwine_rf SSE (left)
2,5131.97405438
3,4299.77706279
4,3741.19735446
5,3253.0264525
6,2997.11600913
7,2748.76347491
8,2557.74179453
9,2439.29579108
10,2341.67376696
11,2239.42234998
12,2157.20582195
