,census_rp SSE (left)
2,68875.8981004
3,61675.2852835
4,56052.4208204
5,51209.4534289
6,46849.0067446
7,44026.5990654
8,41729.9056242
9,40059.9228946
10,38706.6476821
11,37502.2536201
12,36359.5849481
13,35368.970034
14,34325.8296546
15,33620.6370453
