,redwine_pca log-likelihood
2,-5.11239729473
3,-4.95074991843
4,-4.90390102595
5,-4.83404588162
6,-4.81341733522
7,-4.76856766444
8,-4.70266471612
9,-4.66620691649
10,-4.64527196075
11,-4.63695611857
12,-4.59591438916
