,redwine_ica log-likelihood
2,-14.4135978047
3,-13.2875787582
4,-12.9862657285
5,-12.5584051817
6,-12.444496153
7,-12.1747817743
8,-12.0559198768
9,-11.9989773517
10,-11.8335114354
11,-11.6159244622
12,-11.6924823352
