,census_pca log-likelihood
2,-13.581976881
3,-7.89680494069
4,-7.18397043507
5,-3.19275880863
6,-2.55161790082
7,1.02701436702
8,3.05018277091
9,6.08095758461
10,6.8028018215
11,7.48751274331
12,8.68066273662
13,9.62720658809
14,10.0119538004
