cluster,variance explained
1,3.09913244094
2,1.92590968854
3,1.5505434894
4,1.21323253053
5,0.959292071412
6,0.65960826498
7,0.583791219131
8,0.422956699502
9,0.344642116806
10,0.181333166699
11,0.0595583120698
