,census_pca SSE (left)
2,117964.562642
3,109445.039514
4,102249.864979
5,98424.8040041
6,88250.9533301
7,82416.7966139
8,78731.0171611
9,77201.2780287
10,71786.9978873
11,69940.1356454
12,67680.6374326
13,66786.7133499
14,65054.2376729
