,census log-likelihood
2,-6.83740624081
3,0.119766043128
4,-2.22221445328
5,4.15270143001
6,8.76091084221
7,9.03410312055
8,5.25160259995
9,7.35876771991
10,11.759930548
11,12.4226573228
12,12.4993873536
13,12.9171305369
14,13.2611019267
15,13.1654800325
